DeviceExample.ino
A simple demonstration of TinyGPS++ with an attached GPS module
Testing TinyGPS++ library v. 1.0.2
by Mikal Hart

Lat(deg),Lng(deg),HDOP,Date,Time,Speed(km/h),Course(deg)
-33.957683,18.463180,100,---,10:42:23.00,---,---
-33.957683,18.463180,100,1/17/2019,10:42:23.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:42:24.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:42:24.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:25.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:25.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:26.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:26.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:27.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:27.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:28.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:28.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:29.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:42:29.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:30.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:30.00,0.26,0.00
-33.957695,18.463176,100,1/17/2019,10:42:31.00,0.26,0.00
-33.957695,18.463176,100,1/17/2019,10:42:31.00,0.41,0.00
-33.957698,18.463176,100,1/17/2019,10:42:32.00,0.41,0.00
-33.957698,18.463176,100,1/17/2019,10:42:32.00,0.20,0.00
-33.957698,18.463176,100,1/17/2019,10:42:33.00,0.20,0.00
-33.957698,18.463176,100,1/17/2019,10:42:33.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:34.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:34.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:35.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:35.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:36.00,0.00,0.00
-33.957695,18.463178,100,1/17/2019,10:42:36.00,0.00,0.00
-33.957695,18.463180,100,1/17/2019,10:42:37.00,0.00,0.00
-33.957695,18.463180,100,1/17/2019,10:42:37.00,0.00,0.00
-33.957691,18.463180,100,1/17/2019,10:42:38.00,0.00,0.00
-33.957691,18.463180,100,1/17/2019,10:42:38.00,0.00,0.00
-33.957691,18.463180,100,1/17/2019,10:42:39.00,0.00,0.00
-33.957691,18.463180,100,1/17/2019,10:42:39.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:40.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:40.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:41.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:41.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:42.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:42.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:43.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:43.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:44.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:44.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:45.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:45.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:46.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:46.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:47.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:47.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:48.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:48.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:49.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:49.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:50.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:50.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:51.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:51.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:52.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:52.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:53.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:53.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:54.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:54.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:55.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:55.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:56.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:56.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:57.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:57.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:58.00,0.00,0.00
-33.957691,18.463182,100,1/17/2019,10:42:58.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:42:59.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:42:59.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:00.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:00.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:10.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:10.00,0.00,0.00
